(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(46)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(59)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(124)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(149)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(158)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(317)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0008072653884964683, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(345)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(481)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(548)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(583)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(609)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(626)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(652)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(692)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(726)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(731)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.001109989909182644, S=0.001069934831242097}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(861)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0007063572149344097, S=0.0006808676198813345}
