(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(35)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(97)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(362)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(409)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(519)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(640)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(644)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(678)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0006897231254310769, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(860)), {C=0.0006897231254310769, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0006897231254310769, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1048)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1064)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1071)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1118)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1121)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1173)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1295)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1407)), {C=0.0006897231254310769, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1424)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1432)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0005911912503694945, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1454)), {C=0.0004926593753079121, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0006897231254310769, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0004926593753079121, S=0.00048633401420095323}
