(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(7)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(22)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(23)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(30)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(36)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(42)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(44)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(50)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(51)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(53)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(56)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(62)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(66)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(68)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(70)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(89)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(95)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(96)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(98)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(108)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(110)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(117)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(118)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(122)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(125)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(127)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(128)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(131)), {C=0.0005162089613875697, S=0.00048633401420095323}
