(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(5)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(15)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(19)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(21)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(32)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(34)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(42)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(53)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(59)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(61)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(67)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(78)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(80)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(83)), {C=0.0005128205128205128, S=0.00048633401420095323}
