(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(12)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(13)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(14)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(20)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(21)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(26)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(36)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(40)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(41)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(42)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(43)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(45)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(48)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(49)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(61)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(63)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(66)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(83)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(86)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(87)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(111)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(130)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(132)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(137)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(139)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(142)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(143)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(144)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(145)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(153)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(162)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(170)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(173)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(176)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(178)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(183)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(188)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(193)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(211)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(214)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(216)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(222)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(227)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(230)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(232)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(233)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(250)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(254)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(256)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(268)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(269)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(284)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(286)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(298)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(304)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(305)), {C=0.0005129257283545343, S=0.00048633401420095323}
