(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(2)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(6)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(12)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(14)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(19)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(21)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(22)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(24)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(26)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(30)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(31)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(34)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(35)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(38)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(39)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(40)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(42)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(45)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(52)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(56)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(59)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(64)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(65)), {C=0.0005129257283545343, S=0.00048633401420095323}
