(gender(Male))(country(USA))(education(Partial College)) --> (buy(17)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(24)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(54)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(62)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(65)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(72)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(76)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(88)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(98)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(106)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(115)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(119)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(129)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(136)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(138)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(149)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(191)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(194)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(201)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(252)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(274)), {C=0.0008931561906888468, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(278)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(285)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(292)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(307)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(308)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(320)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(331)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(340)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(355)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(362)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(371)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(372)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(379)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(399)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(414)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(419)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(425)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(432)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(436)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(439)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(442)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(443)), {C=0.0008931561906888468, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(445)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(448)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(452)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(460)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(463)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(465)), {C=0.0008931561906888468, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(483)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(489)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(491)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(498)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(503)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(528)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(535)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(540)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(581)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(592)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(607)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(610)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(612)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(688)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(697)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(716)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(717)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(725)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(735)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(742)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(747)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(748)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(798)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(811)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(827)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(833)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(837)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(848)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(862)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(863)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(879)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(884)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(901)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(905)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(925)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(927)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(931)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(935)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(951)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(959)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(960)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(961)), {C=0.0005582226191805292, S=0.00048633401420095323}
