(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(4)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(7)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(15)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(29)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(40)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(58)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(62)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(79)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(85)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(88)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(96)), {C=0.0008922375334589076, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(98)), {C=0.000495687518588282, S=0.00048633401420095323}
