(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(12)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(91)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(195)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(245)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(314)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(332)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(433)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(441)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(470)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(497)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(509)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(571)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(582)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(612)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(626)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(641)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(688)), {C=0.0005004003202562049, S=0.00048633401420095323}
