(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(58)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(118)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(157)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(162)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(200)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(220)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(260)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(283)), {C=0.0008211866146581811, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(296)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(306)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(370)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(401)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(421)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(426)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(427)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(446)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(467)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(476)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(569)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(592)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(598)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(615)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(637)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(638)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(639)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(738)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(739)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(819)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(842)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(860)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(873)), {C=0.0007185382878259084, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(882)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(897)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(905)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(987)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(994)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(996)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1012)), {C=0.0006158899609936358, S=0.0005836008170411438}
