(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0006028938906752411, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0006028938906752411, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(520)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(623)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(671)), {C=0.0006028938906752411, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(765)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(959)), {C=0.0007033762057877813, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1199)), {C=0.0006028938906752411, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1393)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1490)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1496)), {C=0.0005024115755627009, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005024115755627009, S=0.00048633401420095323}
