(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(38)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(39)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(56)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(65)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(88)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0008075913587724613, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(106)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(150)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(168)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(181)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(205)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(226)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(231)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(234)), {C=0.0005047445992327883, S=0.00048633401420095323}
