(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(19)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(26)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(88)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(89)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(98)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(114)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(124)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(135)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(181)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(207)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(210)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(228)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(243)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(244)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(246)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(250)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(279)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(286)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(291)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(302)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0009978048293753743, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(329)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(331)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(332)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(333)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0008980243464378368, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(359)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0005986828976252245, S=0.0005836008170411438}
