(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(37)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(49)), {C=0.0006038647342995169, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(58)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(107)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(156)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(157)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(162)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(244)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(271)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(440)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(472)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(510)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(520)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(525)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(639)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(643)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(688)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(711)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(897)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(942)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1046)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1069)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1128)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1145)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1204)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1401)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1433)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1434)), {C=0.000503220611916264, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1436)), {C=0.0006038647342995169, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1504)), {C=0.000503220611916264, S=0.00048633401420095323}
