(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(26)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(54)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(142)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(159)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(246)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(284)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(323)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(345)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(371)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(388)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(390)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(400)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(409)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(425)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(441)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(447)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(455)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(463)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(468)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(497)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(506)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(523)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(524)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(539)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(547)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(552)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(579)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(593)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(603)), {C=0.0008024877119069115, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(605)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(609)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(629)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(638)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(645)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(689)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(725)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(763)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(823)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(832)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(886)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(897)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(908)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(950)), {C=0.0005015548199418197, S=0.00048633401420095323}
