(gender(Female))(country(USA)) --> (buy(1)), {C=0.0015851449275362318, S=0.001361735239762669}
(gender(Female))(country(USA)) --> (buy(2)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(3)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(4)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(5)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(6)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(7)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(8)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(9)), {C=0.0020380434782608695, S=0.0017508024511234317}
(gender(Female))(country(USA)) --> (buy(10)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(11)), {C=0.004189311594202899, S=0.003598871705087054}
(gender(Female))(country(USA)) --> (buy(12)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(13)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(14)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(15)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(16)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(17)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(18)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(19)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(20)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(21)), {C=0.004189311594202899, S=0.003598871705087054}
(gender(Female))(country(USA)) --> (buy(22)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(23)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(24)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(25)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(26)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(27)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(28)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(29)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(30)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(31)), {C=0.002377717391304348, S=0.0020426028596440037}
(gender(Female))(country(USA)) --> (buy(32)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(33)), {C=0.0020380434782608695, S=0.0017508024511234317}
(gender(Female))(country(USA)) --> (buy(34)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(35)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(36)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(37)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(38)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(39)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(40)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(41)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(42)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(43)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(44)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(45)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(46)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(47)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(48)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(49)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(50)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(51)), {C=0.001811594202898551, S=0.0015562688454430504}
(gender(Female))(country(USA)) --> (buy(52)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(53)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(54)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(55)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(56)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(57)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(58)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(59)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(60)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(61)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(62)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(63)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(64)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(65)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(66)), {C=0.004755434782608696, S=0.004085205719288007}
(gender(Female))(country(USA)) --> (buy(67)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(68)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(69)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(70)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(71)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(72)), {C=0.001811594202898551, S=0.0015562688454430504}
(gender(Female))(country(USA)) --> (buy(73)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(74)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(75)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(76)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(77)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(78)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(79)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(80)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(81)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(82)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(83)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(84)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(85)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(86)), {C=0.0038496376811594205, S=0.003307071296566482}
