(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(44)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(50)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(51)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(60)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(75)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(79)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.0009696186166774402, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(110)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.0009696186166774402, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(117)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(171)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(187)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(267)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(271)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(276)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(286)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(299)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(303)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0009696186166774402, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(319)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(320)), {C=0.0005386770092652446, S=0.00048633401420095323}
