(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(77)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(392)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(569)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(602)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(724)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(781)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(788)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(861)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(862)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(925)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(930)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(991)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0008141664970486466, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1001)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1115)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1136)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1156)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1260)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0005088540606554041, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0006106248727864848, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0006106248727864848, S=0.0005836008170411438}
