(gender(Male))(education(Graduate Degree)) --> (buy(21)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(124)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(173)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(329)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(334)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(347)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(374)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(452)), {C=0.0010978956999085085, S=0.0005836008170411438}
(gender(Male))(education(Graduate Degree)) --> (buy(460)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(568)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(620)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(698)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(730)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(761)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(794)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(855)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(865)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(881)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(895)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(928)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(929)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(935)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(938)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1047)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1076)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1291)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1330)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1422)), {C=0.0010978956999085085, S=0.0005836008170411438}
(gender(Male))(education(Graduate Degree)) --> (buy(1452)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1455)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1493)), {C=0.0010978956999085085, S=0.0005836008170411438}
(gender(Male))(education(Graduate Degree)) --> (buy(1536)), {C=0.0009149130832570906, S=0.00048633401420095323}
(gender(Male))(education(Graduate Degree)) --> (buy(1544)), {C=0.0009149130832570906, S=0.00048633401420095323}
