(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(15)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(29)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(34)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(49)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(53)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(56)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(59)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(62)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(76)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(86)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(89)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(102)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(105)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(107)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(110)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(112)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(127)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(132)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(141)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(150)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(153)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(160)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(168)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(169)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(171)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(179)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(187)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(195)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(202)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(216)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(217)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(218)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(223)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(226)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(228)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(234)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(237)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(245)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(246)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(254)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(258)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(261)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(271)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(272)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(276)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(277)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(282)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(284)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(292)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(295)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(299)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(302)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(304)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(311)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(318)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(327)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(328)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(344)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(349)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(350)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(358)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(360)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(362)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(364)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(377)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(381)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(384)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(386)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(387)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(394)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(401)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(404)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(405)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(407)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(409)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(411)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(415)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(416)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(417)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(418)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(420)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(422)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(423)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(431)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(432)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(433)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(437)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(438)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0011009578333149841, S=0.0009726680284019065}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(443)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(447)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(448)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(455)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(461)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(463)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(466)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(469)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(470)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(485)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(487)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(491)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(492)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(498)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(499)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(505)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(515)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(521)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(522)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(531)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(532)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(537)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(538)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(541)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(546)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(557)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(558)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(559)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(573)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(574)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(576)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(579)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(586)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(587)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(588)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(597)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(598)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(611)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(614)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(617)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(619)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(623)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(631)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(634)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(641)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(647)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(648)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(651)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(653)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(659)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(661)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(666)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(667)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(668)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(670)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(671)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(675)), {C=0.0005504789166574921, S=0.00048633401420095323}
