(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1239)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0007387862796833773, S=0.0006808676198813345}
