(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(118)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(213)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(268)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(361)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(422)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(444)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(896)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(945)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.0007743362831858406, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1141)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1161)), {C=0.0006637168141592919, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1173)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1380)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005530973451327434, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.0005530973451327434, S=0.00048633401420095323}
