(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0005971337579617834, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0005971337579617834, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(602)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(788)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0007961783439490446, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0005971337579617834, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0005971337579617834, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1445)), {C=0.0004976114649681529, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0004976114649681529, S=0.00048633401420095323}
