(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(53)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(54)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(72)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(78)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(100)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(106)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(168)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(317)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(351)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(360)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(405)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(412)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(438)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(455)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(479)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(490)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(501)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(502)), {C=0.0006337805006865955, S=0.0005836008170411438}
