(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(17)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(36)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(39)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(82)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(96)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(107)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(108)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(137)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(170)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(184)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(185)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(201)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(216)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(258)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(259)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(283)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(328)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(334)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(336)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(345)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(361)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(370)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(372)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(381)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(389)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(390)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(391)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(407)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(418)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(426)), {C=0.0006313795643481005, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(428)), {C=0.0007366094917394506, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.0005261496369567505, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(449)), {C=0.0006313795643481005, S=0.0005836008170411438}
