(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(8)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(20)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(33)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(38)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(39)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(60)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(61)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(62)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(83)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(85)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(114)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(124)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(127)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(147)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(152)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(175)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(201)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(205)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(211)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(215)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(218)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(223)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(244)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(252)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(255)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(261)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(269)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(302)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(307)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(309)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(315)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(327)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(328)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(333)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(334)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(335)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(336)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(348)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(354)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(357)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(361)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(367)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(371)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(373)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(374)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(386)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(408)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(415)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(420)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(436)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(440)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(443)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(445)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(448)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(451)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(454)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(460)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(498)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(514)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(515)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(519)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(531)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(547)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(550)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(553)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(558)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(571)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(579)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(585)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(590)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(597)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(608)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(614)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(632)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(643)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(656)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(665)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(670)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(676)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(681)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(691)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(694)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(698)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(738)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(741)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(749)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(758)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(767)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(778)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(804)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(805)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(810)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(813)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(815)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(836)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(837)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(838)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(843)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(854)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(862)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(872)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(873)), {C=0.0010678690080683437, S=0.0008754012255617158}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(875)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(881)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(887)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(890)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(896)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(903)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(904)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(906)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(914)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(919)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(925)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(938)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(942)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(943)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(946)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(952)), {C=0.0007119126720455623, S=0.0005836008170411438}
