(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(11)), {C=0.0013278609367455337, S=0.001069934831242097}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(25)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(34)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(38)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(43)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(47)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(50)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(51)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(61)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(66)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(86)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(90)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(110)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(116)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(117)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(120)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(157)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(169)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(171)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(175)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(179)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(188)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(191)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(202)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(203)), {C=0.0006035731530661517, S=0.00048633401420095323}
