(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(136)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(206)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(223)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(228)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(264)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(298)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(349)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(362)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(373)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(376)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(394)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(405)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(415)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(426)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(443)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(450)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(472)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(488)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(505)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(522)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(524)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(528)), {C=0.0009449562957713207, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(544)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(549)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(587)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(640)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(670)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(696)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(714)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(778)), {C=0.0008268367587999055, S=0.0006808676198813345}
