(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(58)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(67)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(68)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(111)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(118)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(126)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(151)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(155)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(177)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(240)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(241)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(267)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(277)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(313)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(331)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(347)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(350)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(352)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(354)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(398)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(427)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(429)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.000533447135388883, S=0.00048633401420095323}
