(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(30)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(52)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(53)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(54)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(72)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(78)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(86)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(111)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(112)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(132)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(160)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(163)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(165)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(179)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(191)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(195)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(211)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(229)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(231)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(250)), {C=0.0005767677932864229, S=0.00048633401420095323}
