(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(58)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(157)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(162)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(220)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(260)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(283)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(306)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(370)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(421)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(427)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(569)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(598)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(638)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(639)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(738)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(860)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(873)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(897)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(994)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1012)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1069)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1124)), {C=0.000540423692174665, S=0.00048633401420095323}
