(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(54)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(86)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(191)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(260)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(270)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(278)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(357)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(494)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(495)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(502)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(531)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(545)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(550)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(567)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(589)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(598)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(622)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(638)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(671)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(769)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(784)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(789)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(835)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(844)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(996)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1005)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1015)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1124)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1373)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1411)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.0006288648988575621, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1468)), {C=0.0005240540823813018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(1536)), {C=0.0005240540823813018, S=0.00048633401420095323}
