(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(96)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(143)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(164)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(176)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(206)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(223)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(228)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(231)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(264)), {C=0.0007446016381236039, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(271)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(297)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(362)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(384)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(426)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(443)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(505)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(528)), {C=0.0007446016381236039, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(640)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(714)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(778)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(815)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(842)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(869)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(911)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(925)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(938)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(960)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1082)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1088)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1092)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1145)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1172)), {C=0.0006382299755345176, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1377)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1418)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1446)), {C=0.0007446016381236039, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1456)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1502)), {C=0.0005318583129454314, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(M)) --> (buy(1509)), {C=0.0005318583129454314, S=0.00048633401420095323}
