(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(3)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(7)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(8)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(10)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(12)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(15)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(17)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(24)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(26)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(32)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(44)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(54)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(59)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(62)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(69)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(73)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(78)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(82)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(83)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(86)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(87)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(94)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(95)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(96)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(105)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(119)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(132)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(135)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(136)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(137)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(142)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(143)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(156)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(157)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(159)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(160)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(162)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(164)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(172)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(173)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(176)), {C=0.0009719353662981413, S=0.0007781344227215252}
