(house_owner(Y))(marital_status(S)) --> (buy(1)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(4)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(5)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(9)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(10)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(12)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(13)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(14)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(15)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(17)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(18)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0016709368385875013, S=0.0014590020426028597}
