(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(3)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(4)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(5)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(6)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(7)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(8)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(11)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(12)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(14)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(15)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(16)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(19)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(21)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(22)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(24)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(25)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(26)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(27)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(29)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(30)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(34)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(35)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(36)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(37)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(39)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(40)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(43)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(44)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(45)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(46)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(47)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(48)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(50)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(53)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(55)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(57)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(58)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(59)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(61)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(62)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(64)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(67)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(68)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(69)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(70)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(71)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(72)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(73)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(75)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(76)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(77)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(79)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(80)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(81)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(82)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(83)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(84)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(85)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(88)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(89)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(90)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(91)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(92)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(93)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(94)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(95)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(96)), {C=0.0016840687100033683, S=0.0014590020426028597}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(97)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(98)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(100)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(101)), {C=0.0005613562366677895, S=0.00048633401420095323}
