(member card(Silver))(education(Bachelors Degree)) --> (buy(14)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(16)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(112)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(123)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(155)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(229)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(283)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(407)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(446)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(499)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(514)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(540)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(595)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(614)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(858)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(879)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(948)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(972)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(1206)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(1229)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(1403)), {C=0.0018226002430133657, S=0.0005836008170411438}
(member card(Silver))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0015188335358444715, S=0.00048633401420095323}
(member card(Silver))(education(Bachelors Degree)) --> (buy(1530)), {C=0.0015188335358444715, S=0.00048633401420095323}
