(member card(Silver)) --> (buy(2)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(3)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(4)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(7)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(9)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(12)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(13)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(14)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(16)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(17)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(21)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(23)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(24)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(25)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(31)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(34)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(35)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(36)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(37)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(39)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(41)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(42)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(44)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(45)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(47)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(48)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(49)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(50)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(56)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(60)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(62)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(63)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(67)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(68)), {C=0.005208333333333334, S=0.00048633401420095323}
