(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(60)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(194)), {C=0.0014560750687591004, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(274)), {C=0.001132502831257078, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(292)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(302)), {C=0.0009707167125060669, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(366)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(379)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(443)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(445)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(477)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(503)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(607)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(651)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(708)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(710)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(712)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(716)), {C=0.0009707167125060669, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(725)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(793)), {C=0.0009707167125060669, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(905)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(935)), {C=0.0009707167125060669, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(1036)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(1144)), {C=0.0009707167125060669, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(1378)), {C=0.0008089305937550559, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(N)) --> (buy(1443)), {C=0.0008089305937550559, S=0.00048633401420095323}
