(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(6)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(10)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(40)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(41)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(42)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(60)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(76)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(85)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(89)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(91)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(110)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(113)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(124)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(127)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(154)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(162)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(174)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(178)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(181)), {C=0.0018979333614508648, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(183)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(188)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(196)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(197)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(216)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(221)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(226)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(234)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(254)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(256)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(261)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(269)), {C=0.0018979333614508648, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(281)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(298)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(308)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(327)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(330)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(341)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(344)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(345)), {C=0.0016870518768452132, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(353)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(362)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(376)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(382)), {C=0.0016870518768452132, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(384)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(386)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(387)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(388)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(398)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(403)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(410)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(415)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(418)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(425)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(431)), {C=0.0012652889076339097, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(435)), {C=0.0010544074230282583, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(443)), {C=0.0014761703922395613, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(447)), {C=0.0010544074230282583, S=0.00048633401420095323}
