(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(5)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(8)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(9)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(10)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(11)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(19)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(21)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(23)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(25)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(28)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(29)), {C=0.0014823599169878447, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(33)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(36)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(39)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(40)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(42)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(43)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(45)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(46)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(48)), {C=0.0013341239252890604, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(52)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(53)), {C=0.0014823599169878447, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(55)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(62)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(66)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(71)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(73)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(77)), {C=0.0011858879335902759, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(78)), {C=0.0010376519418914911, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(80)), {C=0.0008894159501927068, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(84)), {C=0.0007411799584939224, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(85)), {C=0.0007411799584939224, S=0.00048633401420095323}
