(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(231)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(242)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(312)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(346)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(434)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(478)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(492)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(644)), {C=0.0011135857461024498, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(665)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(900)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(961)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(962)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(995)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1053)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1055)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1176)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1179)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1243)), {C=0.0011135857461024498, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1377)), {C=0.0011135857461024498, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1390)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1545)), {C=0.0009279881217520416, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(marital_status(M)) --> (buy(1556)), {C=0.0009279881217520416, S=0.00048633401420095323}
