(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(129)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(181)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(194)), {C=0.0007229786721291722, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(266)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(285)), {C=0.0007229786721291722, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(292)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(443)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(465)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(477)), {C=0.0008434751174840342, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(585)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(610)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(752)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(914)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1134)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1144)), {C=0.0007229786721291722, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1216)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1353)), {C=0.0007229786721291722, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1365)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1443)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1523)), {C=0.0006024822267743103, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1534)), {C=0.0006024822267743103, S=0.00048633401420095323}
