(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(7)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(54)), {C=0.0008055235903337169, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(87)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(119)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(136)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(168)), {C=0.0008055235903337169, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(206)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(223)), {C=0.0008055235903337169, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(228)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(264)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0010356731875719217, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(298)), {C=0.0006904487917146144, S=0.0005836008170411438}
