(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(40)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(106)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(264)), {C=0.0006952491309385863, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(543)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(653)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(704)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(735)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(783)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(842)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(939)), {C=0.0006952491309385863, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(946)), {C=0.0006952491309385863, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1111)), {C=0.0006952491309385863, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1212)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1340)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1373)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1458)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1467)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1473)), {C=0.0005793742757821553, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(member card(Bronze))(house_owner(Y)) --> (buy(1496)), {C=0.0005793742757821553, S=0.00048633401420095323}
