(buy(542)) --> (buy(7)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(66)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(542)) --> (buy(92)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(202)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(542)) --> (buy(226)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(292)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(542)) --> (buy(309)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(343)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(499)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(501)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(542)) --> (buy(537)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(629)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(765)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(948)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(981)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(992)), {C=0.11475409836065573, S=0.0006808676198813345}
(buy(542)) --> (buy(1098)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(1345)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(542)) --> (buy(1434)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(542)) --> (buy(1478)), {C=0.0819672131147541, S=0.00048633401420095323}
