(country(USA))(buy(1390)) --> (buy(136)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(285)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(358)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(414)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1390)) --> (buy(482)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1390)) --> (buy(504)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1034)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1124)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1224)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1390)) --> (buy(1280)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1311)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1313)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1357)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1390)) --> (buy(1546)), {C=0.0009512161978529692, S=0.0006808676198813345}
